ID,Type,Titre,Résumé,ISBN,Annee,Pages,Langues,Nouveautée,Couverture-bnum,Nom auteur,Prénom Auteur,Particule - auteur,Nom auteur complet
1,Littérature française,Le non de Klara,"Une fillette
  juive rescapée de la Shoah refuse de parler. Un médecin tente de la guérir en
  découvrant son histoire.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=1.webp,AARON,Soazig,,Soazig AARON
2,Littérature étrangère,Le gang de la clef à molette,"Un groupe d'écologistes radicaux
  lutte contre la destruction de la nature par les industriels dans l'Ouest
  américain.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=2.webp,ABBEY,Edward,,Edward ABBEY
3,Spiritualité,Amour toujours !,"Recueil de textes de l’Abbé Pierre
  sur l’amour, la tendresse, et la dignité humaine.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=3.webp,Abbé Pierre,,L',L' Abbé Pierre
4,Spiritualité,Testament,"L'ultime message de l’Abbé Pierre,
  un plaidoyer pour la justice, la solidarité et la foi.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=4.webp,Abbé Pierre,,L',L' Abbé Pierre
5,Spiritualité,Dieu et les hommes,"Dialogue entre l’Abbé Pierre et
  Bernard Kouchner sur la foi, la politique, et les grands défis du monde.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=5.webp,Abbé PIERRE/KOUCHNER Bernard,,L',L' Abbé PIERRE/KOUCHNER Bernard
6,Spiritualité,Mon Dieu… pourquoi ?,"Conversation entre l’Abbé Pierre et
  Frédéric Lenoir sur le mal, la souffrance et la foi.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=6.webp,Abbé PIERRE/LENOIR Frédéric,,L',L' Abbé PIERRE/LENOIR Frédéric
7,Littérature française,Manon Lescaut,"Manon et Des Grieux vivent un amour
  passionné mais tragique au XVIIIe siècle. Un grand classique de la
  littérature française.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=7.webp,Abbé PREVOST,,L',L' Abbé PREVOST
8,Littérature française,Clandestin,"Un homme tente d’échapper à son
  destin en traversant les frontières de l’amour et de la foi.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=8.webp,ABECASSIS,Eliette,,Eliette ABECASSIS
9,Littérature française,Qumran,"Un professeur enquête sur la mort de
  son père et découvre une conspiration autour des manuscrits de la mer Morte.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=9.webp,ABECASSIS,Eliette,,Eliette ABECASSIS
10,Policier suspens thriller,Compulsion,"Le psychiatre Frank Clevenger
  enquête sur le meurtre de la fille d'un milliardaire, suspectant le fils
  adoptif, un adolescent psychopathe.",,0,,,false,https://bnum.din.gouv.fr/mdrive/index.php/s/CtDLGZw5GxpyZWr/download?path=&files=10.webp,ABLOW,Keith,,Keith ABLOW
